1 2:18 3:4 4:2 5:1049 6:1 7:2 8:4 9:2 10:1 11:4 12:2 13:21 14:3 15:1 16:1 17:3 18:2 19:1 20:2 21:1
1 2:9 3:4 5:2799 6:1 7:3 8:2 9:3 10:1 11:2 12:1 13:36 14:3 15:1 16:2 17:3 18:1 19:1 20:2 21:1
2 2:12 3:2 4:9 5:841 6:2 7:4 8:2 9:2 10:1 11:4 12:1 13:23 14:3 15:1 16:1 17:2 18:2 19:1 20:2 21:1
1 2:12 3:4 5:2122 6:1 7:3 8:3 9:3 10:1 11:2 12:1 13:39 14:3 15:1 16:2 17:2 18:1 19:1 20:1 21:1
1 2:12 3:4 5:2171 6:1 7:3 8:4 9:3 10:1 11:4 12:2 13:38 14:1 15:2 16:2 17:2 18:2 19:1 20:1 21:1
1 2:10 3:4 5:2241 6:1 7:2 8:1 9:3 10:1 11:3 12:1 13:48 14:3 15:1 16:2 17:2 18:1 19:1 20:1 21:1
1 2:8 3:4 5:3398 6:1 7:4 8:1 9:3 10:1 11:4 12:1 13:39 14:3 15:2 16:2 17:2 18:2 19:1 20:1 21:1
1 2:6 3:4 5:1361 6:1 7:2 8:2 9:3 10:1 11:4 12:1 13:40 14:3 15:2 16:1 17:2 18:1 19:1 20:1 21:1
4 2:18 3:4 4:3 5:1098 6:1 7:1 8:4 9:2 10:1 11:4 12:3 13:65 14:3 15:2 16:2 17:1 18:2 19:1 20:2 21:1
2 2:24 3:2 4:3 5:3758 6:3 7:1 8:1 9:2 10:1 11:4 12:4 13:23 14:3 15:1 16:1 17:1 18:2 19:1 20:2 21:1
1 2:11 3:4 5:3905 6:1 7:3 8:2 9:3 10:1 11:2 12:1 13:36 14:3 15:1 16:2 17:3 18:1 19:1 20:2 21:1
1 2:30 3:4 4:1 5:6187 6:2 7:4 8:1 9:4 10:1 11:4 12:3 13:24 14:3 15:1 16:2 17:3 18:2 19:1 20:2 21:1
1 2:6 3:4 4:3 5:1957 6:1 7:4 8:1 9:2 10:1 11:4 12:3 13:31 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
2 2:48 3:3 4:10 5:7582 6:2 7:1 8:2 9:3 10:1 11:4 12:4 13:31 14:3 15:2 16:1 17:4 18:2 19:2 20:2 21:1
1 2:18 3:2 4:3 5:1936 6:5 7:4 8:2 9:4 10:1 11:4 12:3 13:23 14:3 15:1 16:2 17:2 18:2 19:1 20:2 21:1
1 2:6 3:2 4:3 5:2647 6:3 7:3 8:2 9:3 10:1 11:3 12:1 13:44 14:3 15:1 16:1 17:3 18:1 19:1 20:2 21:1
1 2:11 3:4 5:3939 6:1 7:3 8:1 9:3 10:1 11:2 12:1 13:40 14:3 15:2 16:2 17:2 18:1 19:1 20:2 21:1
2 2:18 3:2 4:3 5:3213 6:3 7:2 8:1 9:4 10:1 11:3 12:1 13:25 14:3 15:1 16:1 17:3 18:2 19:1 20:2 21:1
2 2:36 3:4 4:3 5:2337 6:1 7:5 8:4 9:3 10:1 11:4 12:1 13:36 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
4 2:11 3:4 5:7228 6:1 7:3 8:1 9:3 10:1 11:4 12:2 13:39 14:3 15:2 16:2 17:2 18:2 19:1 20:2 21:1
1 2:6 3:4 5:3676 6:1 7:3 8:1 9:3 10:1 11:3 12:1 13:37 14:3 15:1 16:3 17:3 18:1 19:1 20:2 21:1
2 2:12 3:4 5:3124 6:1 7:2 8:1 9:3 10:1 11:3 12:1 13:49 14:1 15:2 16:2 17:2 18:1 19:1 20:2 21:1
2 2:36 3:2 4:5 5:2384 6:1 7:2 8:4 9:3 10:1 11:1 12:4 13:33 14:3 15:1 16:1 17:2 18:2 19:1 20:2
2 2:12 3:4 4:4 5:1424 6:1 7:4 8:4 9:3 10:1 11:3 12:2 13:26 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
1 2:6 3:4 5:4716 6:5 7:2 8:1 9:3 10:1 11:3 12:1 13:44 14:3 15:2 16:2 17:2 18:1 19:1 20:2 21:1
2 2:11 3:3 4:3 5:4771 6:1 7:4 8:2 9:3 10:1 11:4 12:2 13:51 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
1 2:12 3:2 4:2 5:652 6:1 7:5 8:4 9:2 10:1 11:4 12:2 13:24 14:3 15:1 16:1 17:3 18:2 19:1 20:2 21:1
2 2:9 3:4 4:3 5:1154 6:1 7:5 8:2 9:3 10:1 11:4 12:1 13:37 14:3 15:2 16:3 17:2 18:2 19:1 20:2 21:1
4 2:15 3:2 5:3556 6:5 7:3 8:3 9:3 10:1 11:2 12:4 13:29 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
3 2:42 3:4 4:1 5:4796 6:1 7:5 8:4 9:3 10:1 11:4 12:4 13:56 14:3 15:3 16:1 17:3 18:2 19:1 20:2 21:1
3 2:30 3:4 4:3 5:3017 6:1 7:5 8:4 9:3 10:1 11:4 12:2 13:47 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
4 2:36 3:4 5:3535 6:1 7:4 8:4 9:3 10:1 11:4 12:3 13:37 14:3 15:2 16:2 17:3 18:2 19:2 20:2 21:1
4 2:36 3:4 5:6614 6:1 7:5 8:4 9:3 10:1 11:4 12:3 13:34 14:3 15:2 16:2 17:4 18:2 19:2 20:2 21:1
4 2:24 3:2 4:3 5:1376 6:3 7:4 8:4 9:2 10:1 11:1 12:3 13:28 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
1 2:15 3:2 5:1721 6:1 7:2 8:2 9:3 10:1 11:3 12:1 13:36 14:3 15:2 16:1 17:3 18:2 19:1 20:2 21:1
1 2:6 3:4 5:860 6:1 7:5 8:1 9:2 10:1 11:4 12:4 13:39 14:3 15:2 16:2 17:3 18:2 19:2 20:2 21:1
4 2:12 3:4 5:1495 6:1 7:5 8:4 9:3 10:1 11:1 12:1 13:38 14:3 15:2 16:2 17:2 18:1 19:1 20:2 21:1
4 2:12 3:4 4:3 5:1934 6:1 7:5 8:2 9:3 10:1 11:2 12:4 13:26 14:3 15:2 16:2 17:3 18:2 19:1 20:2 21:1
4 2:18 3:2 4:1 5:3378 6:5 7:3 8:2 9:3 10:1 11:1 12:2 13:31 14:3 15:2 16:1 17:3 18:2 19:2 20:2 21:1
4 2:24 3:4 4:1 5:3868 6:1 7:5 8:4 9:2 10:1 11:2 12:3 13:41 14:3 15:1 16:2 17:4 18:2 19:2 20:2 21:1
4 2:12 3:4 4:5 5:996 6:5 7:4 8:4 9:2 10:1 11:4 12:1 13:23 14:3 15:2 16:2 17:3 18:2 19:1 20:2 21:1
1 2:24 3:2 4:10 5:1755 6:1 7:5 8:4 9:2 10:3 11:4 12:1 13:58 14:3 15:2 16:1 17:2 18:2 19:2 20:2 21:1
4 2:18 3:4 5:1028 6:1 7:3 8:4 9:2 10:1 11:3 12:1 13:36 14:3 15:2 16:2 17:3 18:2 19:1 20:2 21:1
2 2:24 3:4 4:9 5:2825 6:5 7:4 8:4 9:3 10:1 11:3 12:4 13:34 14:3 15:2 16:2 17:3 18:1 19:2 20:2 21:1
2 2:18 3:2 4:6 5:1239 6:5 7:3 8:4 9:3 10:1 11:4 12:4 13:61 14:3 15:3 16:1 17:3 18:2 19:1 20:2 21:1
1 2:18 3:2 5:1216 6:1 7:2 8:4 9:2 10:1 11:3 12:3 13:23 14:3 15:1 16:1 17:3 18:2 19:2 20:2
4 2:24 3:2 4:9 5:1258 6:1 7:4 8:4 9:3 10:1 11:1 12:1 13:25 14:3 15:2 16:1 17:3 18:2 19:2 20:2 21:1
